TITLE = "INITIAL"
VARIABLES = "x","y","z","U","V","W","dudx","dudy","dudz","dvdx","dvdy","dvdz","dwdx","dwdy","dwdz","isValid"
ZONE T="zeros" I=20, J=31, K=12, F=POINT
-18.500000 -22.500000 1.500000 -0.000069 0.000009 0.000110 -0.327532 -0.486434 0.306706 0.224259 0.032670 0.045836 -0.070238 1.147167 0.294862 0.049834
-17.000000 -22.500000 1.500000 -0.000179 -0.000014 -0.000035 -0.512301 -1.034793 0.426993 0.177849 -0.012495 0.000648 -0.339887 0.575844 0.524796 0.065125
-15.500000 -22.500000 1.500000 -0.000230 0.000071 0.000607 -0.300451 -1.316217 0.623368 0.209283 0.618051 -0.180838 -1.905657 2.411315 -0.317600 0.004222
-14.000000 -22.500000 1.500000 -0.000278 0.000046 -0.000256 -0.420376 -1.745941 0.586852 0.207663 0.454905 -0.052627 -2.200390 -0.350004 -0.034529 0.001923
-12.500000 -22.500000 1.500000 -0.000901 0.000124 -0.002483 -0.485280 -4.016496 1.513322 0.252289 0.445192 -0.132307 -1.136114 -8.260323 0.040088 0.000989
-11.000000 -22.500000 1.500000 -0.000255 0.000126 0.000453 -0.066647 -1.720139 0.761369 0.188024 0.714895 -0.074088 -0.453434 2.626372 -0.648248 0.000807
-9.500000 -22.500000 1.500000 -0.000466 -0.000060 -0.000883 0.040465 -2.479846 0.764115 0.237505 0.012379 -0.148830 0.571230 -2.269006 -0.052844 0.004040
-8.000000 -22.500000 1.500000 -0.000619 0.000202 0.000065 -0.022152 -3.082633 0.823477 0.073194 0.993844 -0.403898 -0.338530 1.001550 -0.971692 -0.005407
-6.500000 -22.500000 1.500000 -0.000274 0.000236 0.000274 -0.189241 -1.821819 0.453527 0.261197 1.079890 -0.234965 0.048852 1.536390 -0.890649 -0.003668
-5.000000 -22.500000 1.500000 -0.000284 0.000245 0.000300 -0.227155 -1.918270 0.486330 0.080378 0.998345 -0.278342 -0.303996 1.377248 -0.771191 0.001910
-3.500000 -22.500000 1.500000 -0.000535 0.000420 -0.000052 -0.173044 -2.925434 0.584840 -0.026612 1.202623 -0.455022 0.217255 -0.087029 -1.029579 0.006111
-2.000000 -22.500000 1.500000 -0.000359 0.000299 0.000266 -0.012882 -2.257101 0.526702 -0.095448 1.037866 -0.432769 -0.166785 1.022976 -1.024984 0.008832
-0.500000 -22.500000 1.500000 -0.000534 0.000150 -0.001192 0.641493 -2.888849 0.434977 -0.110538 0.316649 -0.382386 2.237237 -4.937966 -0.958141 -0.007166
1.000000 -22.500000 1.500000 -0.000404 0.000092 0.000026 0.016415 -2.290590 0.380192 0.012477 0.636244 -0.409184 -0.216435 -0.024635 -0.652660 -0.002874
2.500000 -22.500000 1.500000 -0.000423 0.000090 -0.000150 -0.070424 -2.324608 0.471206 -0.000548 0.598060 -0.303928 -1.258706 -0.833749 -0.527636 -0.006528
4.000000 -22.500000 1.500000 -0.000778 0.000387 -0.000306 -0.336635 -3.679894 0.387415 0.125856 1.507154 -0.127877 -0.934971 -1.600077 -1.170519 0.005436
5.500000 -22.500000 1.500000 -0.000951 0.000372 -0.000891 0.205704 -4.334851 0.843926 -0.174774 1.294515 -0.255064 -0.615558 -4.162639 -1.500218 -0.004245
7.000000 -22.500000 1.500000 -0.000531 0.000188 -0.001029 0.149919 -2.701991 0.623070 -0.203096 0.810182 -0.159867 0.053162 -4.553734 -0.960102 0.002555
8.500000 -22.500000 1.500000 -0.000337 0.000134 -0.000600 0.150347 -1.821559 0.326462 -0.141802 0.778394 -0.021358 -0.016940 -2.807365 -0.928741 -0.003914
10.000000 -22.500000 1.500000 -0.000186 0.000197 -0.000542 0.140519 -1.295870 0.436755 -0.112478 0.788680 -0.068992 -0.238673 -3.001414 -0.929199 -0.000485
-18.500000 -21.000000 1.500000 -0.000461 0.000024 0.001262 -0.946260 -1.746554 0.866029 0.329743 0.169636 0.032820 1.843379 4.965083 0.776624 0.047611
-17.000000 -21.000000 1.500000 -0.003991 0.001032 0.015516 -3.119792 -12.652491 4.125631 1.286515 4.612017 -0.869984 13.806589 48.401099 -1.492225 0.053582
-15.500000 -21.000000 1.500000 -0.001751 0.000297 0.001870 -1.224297 -5.915460 3.059972 0.489130 1.414689 -0.458894 0.314124 6.661582 -0.190392 0.004779
-14.000000 -21.000000 1.500000 -0.001362 0.000297 0.000670 -0.761073 -5.105400 2.186837 0.235516 1.421070 -0.354780 -6.471970 2.733034 -0.659998 0.001026
-12.500000 -21.000000 1.500000 -0.000619 0.000232 0.001156 -0.383762 -3.190008 1.264220 0.324364 1.427206 -0.209331 -3.828000 4.190968 -1.043443 0.000253
-11.000000 -21.000000 1.500000 -0.001580 0.000784 0.001496 -1.228227 -6.049229 2.127908 0.987680 2.361927 -0.432977 2.592749 6.889577 -1.133700 -0.000542
-9.500000 -21.000000 1.500000 -0.001494 0.000519 0.000297 -0.278651 -5.775012 1.772128 0.497838 1.804295 -0.676462 1.069293 2.838342 -1.525645 -0.011544
