TITLE = "B000003"
VARIABLES = "x[mm]" "y[mm]" "z[mm]" "I" "Vx[m/s]" "Vy[m/s]" "Vz[m/s]" "|V|[m/s]" "trackID" "Ax[m/s²]" "Ay[m/s²]" "Az[m/s²]" "|A|[m/s²]" "Absolute intensity[]"
ZONE T="Snapshot 0003"
STRANDID=1, SOLUTIONTIME=None
I=1426, J=1, K=1, ZONETYPE=Ordered
DATAPACKING=POINT
-5.31545 7.81647 -1.69071 1e-06 -0.204596 0.122464 0.0914953 0.255398 3 0 0 0 0 1e-06
-3.76466 13.7199 -1.06028 1e-06 -0.156999 0.120931 0.242144 0.312901 5 0 0 0 0 1e-06
-8.46651 -7.18798 -0.444874 1e-06 -0.201695 0.132539 0.20391 0.315954 10 0 0 0 0 1e-06
-1.64023 -15.214 -0.794742 1e-06 -0.27369 0.16086 0.110091 0.33601 14 0 0 0 0 1e-06
-2.57516 15.2941 -0.463318 1e-06 -0.154495 0.132717 0.224713 0.303279 15 0 0 0 0 1e-06
-14.7633 13.3761 0.327827 1e-06 -0.0764102 0.0832806 0.231582 0.25769 18 0 0 0 0 1e-06
2.84319 11.1992 -0.556212 1e-06 -0.205722 0.0660881 0.126695 0.250481 20 0 0 0 0 1e-06
-10.7241 10.902 -0.0571999 1e-06 -0.123756 0.058527 0.0904865 0.1641 21 0 0 0 0 1e-06
-2.22311 9.75028 -0.333791 1e-06 -0.161319 0.139348 0.138054 0.25397 22 0 0 0 0 1e-06
5.87829 9.31859 -1.20971 1e-06 -0.232953 0.0698783 0.140734 0.280991 23 0 0 0 0 1e-06
6.19868 8.80216 -1.46059 1e-06 -0.238952 0.079286 -0.056085 0.257934 24 0 0 0 0 1e-06
-1.36853 8.62728 -0.522281 1e-06 -0.177799 0.138859 0.150859 0.27139 25 0 0 0 0 1e-06
6.03525 7.48368 -0.859079 1e-06 -0.232781 0.0778484 0.0384952 0.248453 27 0 0 0 0 1e-06
-10.8702 7.28199 0.198188 1e-06 -0.130892 0.0527918 0.206113 0.249804 28 0 0 0 0 1e-06
-11.871 5.87156 -0.0955676 1e-06 -0.128979 0.039625 0.229362 0.266107 29 0 0 0 0 1e-06
-1.8531 6.07282 -0.517716 1e-06 -0.186931 0.154388 0.135943 0.277956 30 0 0 0 0 1e-06
0.536645 5.08749 -0.435467 1e-06 -0.198458 0.121357 0.113801 0.258966 31 0 0 0 0 1e-06
-11.1042 3.57395 0.134754 1e-06 -0.135315 0.0535032 0.264922 0.302252 32 0 0 0 0 1e-06
-5.6042 1.18291 -0.0970054 1e-06 -0.168331 0.151321 0.172214 0.284414 33 0 0 0 0 1e-06
-10.9443 0.806662 -0.203388 1e-06 -0.160393 0.0677095 0.182359 0.252122 34 0 0 0 0 1e-06
-12.938 0.613965 -0.109688 1e-06 -0.141467 0.0383976 0.157433 0.215111 36 0 0 0 0 1e-06
1.44865 -0.715172 -0.95152 1e-06 -0.25319 0.138511 0.045136 0.292109 38 0 0 0 0 1e-06
-10.6128 -3.03837 -0.094037 1e-06 -0.145973 0.0893962 0.254422 0.306644 40 0 0 0 0 1e-06
8.51678 -3.80925 -1.50444 1e-06 -0.241305 0.104324 -0.240043 0.355994 44 0 0 0 0 1e-06
-9.69768 -3.82348 0.030182 1e-06 -0.15247 0.112859 0.209902 0.282919 45 0 0 0 0 1e-06
4.32192 -5.29452 -1.05576 1e-06 -0.274175 0.154971 0.0932917 0.328468 47 0 0 0 0 1e-06
-15.0118 -5.55781 0.407266 1e-06 -0.117827 0.0353578 0.300772 0.324957 48 0 0 0 0 1e-06
2.06609 -5.52293 -1.15261 1e-06 -0.270215 0.141641 0.0421403 0.307984 49 0 0 0 0 1e-06
-6.00985 -6.53239 -0.376791 1e-06 -0.223801 0.162172 0.195697 0.33865 50 0 0 0 0 1e-06
-14.5146 -6.76235 0.206552 1e-06 -0.137803 0.0401795 0.197619 0.244248 51 0 0 0 0 1e-06
4.906 -9.50573 -0.883987 1e-06 -0.265702 0.138265 -0.114204 0.320558 52 0 0 0 0 1e-06
-1.53513 -10.1192 -0.675294 1e-06 -0.2702 0.147446 0.0733592 0.316433 53 0 0 0 0 1e-06
-1.2084 -13.8244 -0.76034 1e-06 -0.271947 0.155468 -0.0118831 0.313475 55 0 0 0 0 1e-06
-11.457 -15.3 -0.101962 1e-06 -0.231197 0.0870187 0.123145 0.276024 58 0 0 0 0 1e-06
4.9073 -15.3407 -0.67377 1e-06 -0.2453 0.127127 -0.144092 0.311602 59 0 0 0 0 1e-06
-14.9883 -13.1064 0.201826 1e-06 -0.169982 0.0355881 0.19401 0.260385 61 0 0 0 0 1e-06
4.36982 15.1959 -0.495996 1e-06 -0.198414 0.0227672 0.0801829 0.215211 62 0 0 0 0 1e-06
8.51481 14.4799 -1.00528 1e-06 -0.22304 0.0402863 -0.0438215 0.230847 64 0 0 0 0 1e-06
8.88205 13.7473 -0.805164 1e-06 -0.21445 0.0342708 -0.150203 0.264053 65 0 0 0 0 1e-06
-4.81366 13.4412 0.0379248 1e-06 -0.127615 0.115588 0.210425 0.271892 66 0 0 0 0 1e-06
9.89223 12.1336 -0.988398 1e-06 -0.227334 0.0438961 -0.0487543 0.236611 68 0 0 0 0 1e-06
-11.0917 11.4646 0.315836 1e-06 -0.104888 0.053547 0.201534 0.23342 69 0 0 0 0 1e-06
9.62019 11.3085 -0.855467 1e-06 -0.231163 0.0499351 -0.0686227 0.24625 70 0 0 0 0 1e-06
4.65078 10.0384 -0.451064 1e-06 -0.197002 0.0526996 0.0553698 0.211313 72 0 0 0 0 1e-06
-13.9307 9.96264 0.440536 1e-06 -0.0887714 0.0490261 0.28156 0.299265 73 0 0 0 0 1e-06
-11.3947 9.6481 0.680339 1e-06 -0.0945887 0.0479567 0.239809 0.262212 74 0 0 0 0 1e-06
-14.148 8.65341 0.148897 1e-06 -0.0986097 0.0487754 0.151781 0.187458 77 0 0 0 0 1e-06
-7.87458 8.24718 0.443765 1e-06 -0.121127 0.0883587 0.292576 0.328755 78 0 0 0 0 1e-06
-14.196 6.81993 0.803738 1e-06 -0.0828169 0.038385 0.291254 0.305223 79 0 0 0 0 1e-06
-5.75573 6.8762 0.411205 1e-06 -0.12979 0.133599 0.28903 0.34385 80 0 0 0 0 1e-06
7.33008 6.1087 -1.00597 1e-06 -0.249295 0.0929749 -0.0454565 0.269924 82 0 0 0 0 1e-06
1.1198 4.59871 -0.186826 1e-06 -0.190932 0.0959942 0.0907821 0.232188 84 0 0 0 0 1e-06
1.24415 4.21362 -0.278756 1e-06 -0.206378 0.10458 0.0563868 0.238135 85 0 0 0 0 1e-06
-6.82744 4.05558 0.385601 1e-06 -0.142144 0.139342 0.159602 0.255135 86 0 0 0 0 1e-06
-4.6263 4.08839 0.0274332 1e-06 -0.168771 0.156266 0.293674 0.373024 87 0 0 0 0 1e-06
-8.25353 2.64025 0.734631 1e-06 -0.131759 0.113655 0.271549 0.322516 89 0 0 0 0 1e-06
-3.12086 2.17442 0.227035 1e-06 -0.177524 0.161006 0.182445 0.301204 90 0 0 0 0 1e-06
-11.9537 1.84948 0.420034 1e-06 -0.124567 0.0464954 0.251002 0.284044 91 0 0 0 0 1e-06
-6.96167 1.85915 0.373937 1e-06 -0.136482 0.140133 0.289561 0.349443 92 0 0 0 0 1e-06
-0.359277 0.554019 -0.149783 1e-06 -0.219595 0.119158 0.0821564 0.263003 96 0 0 0 0 1e-06
-15.4894 -0.172723 0.523441 1e-06 -0.103669 0.0265655 0.166045 0.197545 97 0 0 0 0 1e-06
0.402476 -4.05009 -0.822046 1e-06 -0.256963 0.137138 -0.0452368 0.29476 104 0 0 0 0 1e-06
1.09435 -4.26881 -0.813718 1e-06 -0.260849 0.135955 0.0223534 0.295001 105 0 0 0 0 1e-06
-7.5418 -5.67633 0.0727571 1e-06 -0.190028 0.144083 0.145323 0.279266 106 0 0 0 0 1e-06
-3.5193 -6.85696 -0.0233596 1e-06 -0.225019 0.124251 0.0819551 0.269794 107 0 0 0 0 1e-06
4.42994 -7.03271 -0.734465 1e-06 -0.272154 0.135179 -0.0949202 0.318356 108 0 0 0 0 1e-06
-2.25186 -7.31398 -0.684445 1e-06 -0.266372 0.143642 -0.0901915 0.315788 109 0 0 0 0 1e-06
-5.21862 -7.33423 -0.00765156 1e-06 -0.210141 0.136794 0.127104 0.281118 110 0 0 0 0 1e-06
-3.29583 -7.70264 0.0493497 1e-06 -0.232309 0.119147 0.10954 0.28313 112 0 0 0 0 1e-06
7.0822 -8.23914 -0.695729 1e-06 -0.244813 0.110416 -0.153165 0.309168 113 0 0 0 0 1e-06
-14.3035 -8.38137 0.506454 1e-06 -0.150394 0.0419275 0.192461 0.247826 114 0 0 0 0 1e-06
-12.8634 -8.46872 0.410204 1e-06 -0.154728 0.065108 0.244978 0.296975 115 0 0 0 0 1e-06
-12.7894 -8.76674 0.490563 1e-06 -0.150929 0.0687048 0.255997 0.305015 117 0 0 0 0 1e-06
1.76385 -9.86418 -0.65357 1e-06 -0.275085 0.144328 -0.0897275 0.323347 118 0 0 0 0 1e-06
-10.4435 -11.0485 0.213014 1e-06 -0.203647 0.10726 0.160229 0.280447 119 0 0 0 0 1e-06
1.79808 -11.0623 -0.400635 1e-06 -0.267049 0.140316 -0.0789037 0.311817 120 0 0 0 0 1e-06
