TITLE = "B0000001 Polynomial order: 2 Length: 5, Positions are unfiltered"
VARIABLES = "x[mm]" "y[mm]" "z[mm]" "I" "Vx[m/s]" "Vy[m/s]" "Vz[m/s]" "|V|[m/s]" "trackID" "Ax[m/s²]" "Ay[m/s²]" "Az[m/s²]" "|A|[m/s²]" "Absolute intensity[]" "UncertaintyX[mm]" "UncertaintyY[mm]" "UncertaintyZ[mm]" "UncertaintyVx[m/s]" "UncertaintyVy[m/s]" "UncertaintyVz[m/s]" "UncertaintyV[m/s]" "UncertaintyAx[m/s²]" "UncertaintyAy[m/s²]" "UncertaintyAz[m/s²]" "UncertaintyA[m/s²]"
ZONE T="Snapshot 0000"
STRANDID=1, SOLUTIONTIME=0.03550157
I=2162, J=1, K=1, ZONETYPE = Ordered
DATAPACKING = POINT
-45.21 -26.54 0.8728 0.4326 -0.001431 0.0189 -0.2007 0.2016 0 -12.63 -41.73 -18.9 47.52 145.3 0 0 0 0 0 0 0 0 0 0 0
31.94 10.6 19.73 1.465 -0.1158 0.005706 0.1993 0.2306 1 30.01 68.51 -21.39 77.79 634.7 0 0 0 0 0 0 0 0 0 0 0
-20.24 -15.62 0.368 0.4239 0.02129 0.01217 -0.227 0.2283 2 -68.05 -78.29 26.24 107 146.4 0 0 0 0 0 0 0 0 0 0 0
27.64 11.74 19.68 1.56 -0.1154 0.04922 0.131 0.1814 3 27.16 -34.75 83.82 94.71 674 0 0 0 0 0 0 0 0 0 0 0
21.97 16.35 19.73 1.668 -0.1283 0.03063 0.136 0.1895 4 47.21 16.55 64.65 81.75 706.1 0 0 0 0 0 0 0 0 0 0 0
17.08 -22.13 19.76 0.8309 -0.1704 -0.003331 0.1868 0.2528 5 82.8 6.165 -119.9 145.9 399.2 0 0 0 0 0 0 0 0 0 0 0
-20.69 17.59 0.3901 0.5144 0.001146 -0.00389 -0.1696 0.1697 6 -102.5 43.77 -101.1 150.4 168.6 0 0 0 0 0 0 0 0 0 0 0
-36.79 4.443 0.3429 0.2254 0.04668 0.009194 -0.2526 0.2571 7 -40.05 53.93 117 134.9 70.17 0 0 0 0 0 0 0 0 0 0 0
32.51 -11.63 5.446 0.1448 0.008564 -0.04849 0.1804 0.187 8 -75.73 16.47 19.04 79.81 55.83 0 0 0 0 0 0 0 0 0 0 0
24.8 -21.22 15.98 0.2047 -0.1763 0.03473 0.1457 0.2313 9 98.34 -42.13 154.7 188.1 96.2 0 0 0 0 0 0 0 0 0 0 0
44.34 13.16 19.75 0.7164 0.04631 0.02583 0.191 0.1982 10 -267.4 28.03 -98.9 286.5 309.5 0 0 0 0 0 0 0 0 0 0 0
30.65 -1.277 15.65 1.409 -0.09066 0.04135 0.222 0.2433 11 6.579 -7.186 -27.41 29.09 652.1 0 0 0 0.01005 0.01948 0.04368 0.04887 9.635 18.68 41.89 46.86
39.31 -15.46 19.57 1.171 -0.09978 -0.01143 0.1708 0.1981 12 -0.8107 5.953 3.412 6.909 549 0 0 0 0.02755 0.01211 0.01733 0.03472 26.42 11.61 16.62 33.3
-48.72 -26.61 19.7 0.8947 -0.06652 -0.02776 -0.1623 0.1776 13 -6.489 2.122 -5.796 8.955 445.1 0 0 0 0.03107 0.007136 0.01726 0.03625 29.79 6.843 16.55 34.76
48.02 -17.72 15.69 1.2 -0.111 0.04837 0.1467 0.1902 14 48.3 -15.16 26.21 57 548.6 0 0 0 0.04909 0.03832 0.07617 0.09839 47.07 36.75 73.04 94.34
25.29 14.51 8.652 1.013 -0.0255 0.0135 0.1953 0.1974 15 -15.22 -4.695 -10.84 19.27 417.6 0 0 0 0.01836 0.002216 0.02902 0.03441 17.6 2.125 27.82 32.99
-39.78 16.32 2.484 0.8399 -0.02392 -0.01474 -0.2134 0.2152 16 -4.928 6.319 -8.799 11.9 276 0 0 0 0.01714 0.005537 0.01379 0.02269 16.44 5.309 13.22 21.75
14.86 15.84 12.45 1.073 -0.105 -0.01712 0.1578 0.1903 17 -2.789 -2.338 9.793 10.45 460.7 0 0 0 0.01399 0.0123 0.0247 0.03094 13.42 11.79 23.69 29.66
-40.39 -6.987 5.227 1.168 -0.01663 -0.008323 -0.214 0.2148 18 -12.54 8.423 -12.25 19.45 413.8 0 0 0 0.02471 0.006903 0.02447 0.03546 23.7 6.619 23.47 34
42.36 -4.675 19.26 0.8767 -0.08182 0.01776 0.1381 0.1615 19 30.31 -2.939 48.31 57.1 404.3 0 0 0 0.02489 0.01318 0.03644 0.04605 23.87 12.64 34.94 44.16
-35.64 21.4 11 1.796 -0.07784 -0.01785 -0.1997 0.215 20 -15.48 -1.967 -5.763 16.63 757.3 0 0 0 0.01815 0.006268 0.01588 0.02492 17.4 6.011 15.23 23.89
-26.67 14.22 4.253 0.9685 -0.03946 -0.04908 -0.2164 0.2254 21 -5.526 10.22 1.008 11.67 329.6 0 0 0 0.01121 0.01397 0.01104 0.02104 10.75 13.4 10.59 20.18
-2.782 -21.76 5.531 0.8921 -0.08157 -0.06528 -0.1148 0.1552 22 -12.56 -15.74 -14.22 24.65 361 0 0 0 0.02188 0.03096 0.03051 0.04866 20.98 29.69 29.26 46.67
25.42 -26.51 6.576 1.061 -0.03332 0.03522 0.2099 0.2154 23 0.8489 6.337 -6.652 9.226 417.3 0 0 0 0.02067 0.04495 0.01388 0.05139 19.82 43.11 13.31 49.28
40.66 21.92 3.3 0.9147 -0.004926 0.07073 0.2036 0.2156 24 -3.205 -3.221 -0.7536 4.606 322.1 0 0 0 0.006273 0.009531 0.01245 0.01689 6.016 9.139 11.94 16.19
-40.37 4.881 0.9729 0.602 -0.01151 -0.01015 -0.211 0.2115 25 12.57 13.26 -15.54 23.99 186.2 0 0 0 0.01606 0.00902 0.01634 0.02463 15.4 8.65 15.67 23.62
-43.12 -13.9 7.681 1.021 -0.03941 -0.01659 -0.1893 0.1941 26 -4.671 7.89 -12.75 15.71 398.7 0 0 0 0.02095 0.003346 0.02111 0.02993 20.09 3.209 20.24 28.7
23.09 18.65 13.92 2.009 -0.08366 0.01188 0.1644 0.1848 27 1.269 -8.888 2.471 9.312 857.6 0 0 0 0.003494 0.00567 0.00598 0.008951 3.351 5.437 5.735 8.583
-48.07 -15.87 19.43 1.621 -0.08735 -0.03175 -0.1826 0.2049 28 9.368 -7.46 18.02 21.64 808 0 0 0 0.0206 0.01131 0.01819 0.02972 19.76 10.84 17.44 28.5
-16.86 -22.52 15.69 0.931 -0.1331 -0.02127 -0.1223 0.182 29 19.7 -3.113 -24.94 31.93 452.2 0 0 0 0.02297 0.02452 0.004576 0.03391 22.03 23.51 4.388 32.51
-19.23 6.867 14.79 1.376 -0.1614 -0.05091 -0.1345 0.2162 30 12.27 -6.064 2.222 13.87 614.5 0 0 0 0.01427 0.0389 0.01256 0.0433 13.68 37.3 12.04 41.52
-21.67 -3.277 8.568 1.863 -0.09791 -0.02908 -0.1848 0.2112 31 14.62 -20.51 5.785 25.85 768.7 0 0 0 0.01699 0.03668 0.02262 0.04632 16.29 35.18 21.69 44.42
15.15 -15.67 10.46 0.9637 -0.1386 0.02451 0.1997 0.2443 32 11.07 -13.7 -16.91 24.42 437.2 0 0 0 0.01478 0.00741 0.01406 0.0217 14.17 7.106 13.48 20.81
15.91 -27.35 11.92 0.7964 -0.09945 -0.005853 0.1736 0.2001 33 -28.17 9.442 -2.02 29.78 359 0 0 0 0.01924 0.006574 0.01714 0.02659 18.45 6.304 16.43 25.5
49.41 11.22 9.245 0.6859 -0.03319 0.02234 0.11 0.117 34 8.323 -6.01 56.91 57.83 293.1 0 0 0 0.02535 0.01031 0.01421 0.03083 24.31 9.885 13.63 29.57
9.323 27.55 0.8789 0.7854 -0.07424 0.06679 0.1743 0.2008 35 6.26 -11.62 10.06 16.6 277.8 0 0 0 0.02316 0.005035 0.02731 0.03616 22.21 4.829 26.19 34.68
15.39 14.49 13.08 1.461 -0.1028 -0.05409 0.1744 0.2095 36 -12.39 34.18 -10.24 37.78 633.6 0 0 0 0.03762 0.01036 0.01629 0.04229 36.07 9.939 15.62 40.55
-18.34 28.41 6.578 0.6578 -0.1493 0.02121 -0.1218 0.1938 37 -6.982 0.6908 -28.52 29.37 255.7 0 0 0 0.006122 0.01264 0.01242 0.01875 5.87 12.12 11.91 17.98
